search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
literary comics,/works/OL17758278W,Henry James and the comic form,Ronald Wallace,1975.0,,eng,,,4473555.0
literary comics,/works/OL20210447W,The Hernandez Brothers,Enrique Garcia,2017.0,,eng,,,8861298.0
literary comics,/works/OL20930152W,"Comic Books, Graphic Novels and the Holocaust",Claire Gorrara,,,eng,,,
literary comics,/works/OL13640747W,"Shakespeare, Rabelais, and the comical-historical",Cathleen T McLoughlin,1999.0,,eng,,,3736564.0
literary comics,/works/OL20092430W,"Snow, Glass, Apples","Neil Gaiman, Colleen Doran, Diego de los Santos",2019.0,,eng,,,8757611.0
literary comics,/works/OL21613958W,Metaphoricity of Conventionalized Diegetic Images in Comics,Michal Szawerna,2017.0,,eng,,,
literary comics,/works/OL4479253W,Comic tales of the Middle Ages,Marc Wolterbeek,1991.0,,"eng, lat",,,2375160.0
literary comics,/works/OL1951642W,"Shakespeare, Rabelais, and the comical-historical",Cathleen T. McLoughlin,2000.0,,eng,,,3736563.0
literary comics,/works/OL36113629W,Rose Metal Press Field Guide to Graphic Literature,"Kelcey Ervick, Tom Hart",2023.0,,eng,,,
literary comics,/works/OL17868557W,Macbeth - The Graphic Novel,William Shakespeare,1850.0,,"spa, eng, ger, swe",,,9033736.0
literary comics,/works/OL1304652W,The comic style of P. G. Wodehouse,Robert Anderson Hall,1974.0,,eng,,,4509678.0
literary comics,/works/OL17543693W,"Romeo and Juliet the Graphic Novel
            
                Classical Comics",Will Volley,2009.0,,,,,7789019.0
literary comics,/works/OL20895868W,Hotdogger,Karla Oceanak,2013.0,,eng,,,10230304.0
literary comics,/works/OL5798992W,"Berserk, Vol. 6",三浦建太郎,2003.0,,eng,,,869292.0
literary comics,/works/OL17584845W,Narrative Structure In Comics Making Sense Of Fragments,Barbara Postema,2013.0,,,,,7870395.0
literary comics,/works/OL7382970W,The Marvel Comics Guide to New York City,Peter Sanderson,2007.0,,eng,,,2787121.0
literary comics,/works/OL16934129W,Comics as a nexus of cultures,Jochen Ecke,2010.0,,eng,,,9798004.0
literary comics,/works/OL28103059W,Illusions of Time,Dot Hearn,2022.0,,eng,,,
literary comics,/works/OL16420202W,Hark! A Vargrant,Kate Beaton,2011.0,,"eng, fre",,,7414668.0
literary comics,/works/OL23219832W,Gustave Doré,Gustave Doré,2015.0,,eng,,,
literary comics,/works/OL32920703W,Mabu wa kilsondŭl,"Yi, Sŏng-ch'il (Literary author)",2013.0,,kor,,,
literary comics,/works/OL20030663W,Secret teachings of a comic book master,Heidi MacDonald,2015.0,,eng,,,
literary comics,/works/OL28123068W,Mutant Desert Adventure,Santiago,2022.0,,eng,,,
literary comics,/works/OL12265492M,A Quest for the Comic Meaning of Literature,"Carol Joyce, Margaret Dunn",2003.0,,,,,3044736.0
literary comics,/works/OL21866601W,Monstrous Imaginaries,Maaheen Ahmed,2019.0,,eng,,,
literary comics,/works/OL27961404W,Ananda math,"Pradip Paul, Souren Roy, Anant Pai",2006.0,,eng,,,12766389.0
literary comics,/works/OL20001546W,Insider histories of cartooning,Robert C. Harvey,2014.0,,eng,,,14367604.0
literary comics,/works/OL32896515W,Pictures and conversations,"Byron W. Sewell, Mark Burstein, Alan Tannenbaum",2005.0,,eng,,,
literary comics,/works/OL19745563W,The new world,Chris Reynolds,2018.0,,eng,,,
literary comics,/works/OL4286299W,Mark Twain as a literary comedian,David E. E. Sloane,1971.0,,eng,,,10062640.0
literary comics,/works/OL22355094W,Four readability tests on four comic books,MaryAnn Doty Rizzo,2012.0,,eng,,,13811229.0
literary comics,/works/OL35770707W,Frank Johnson,"Chris Byrne, Keith Mayerson, Frank Johnson",2023.0,,eng,,,
literary comics,/works/OL21156770W,Canadian Alternative,"Dominick Grace, Eric Hoffman",2017.0,,eng,,,
literary comics,/works/OL3679939W,The Sunforth chronicles,"Andy Juniper, Andy Junier",2003.0,,eng,,,1646036.0
